text,label,num_label
সন্ধ্যায় পাখিরা বাসায় ফেরে,Simple,0
সন্ধ্যা হয় এবং পাখিরা বাসায় ফেরে,Compound,2
যখন সন্ধ্যা হয় তখন পাখিরা বাসায় ফেরে,Complex,1
দর্শক মাত্রই আশ্চর্য হয়েছে,Simple,0
দেখেছে আর আশ্চর্য হয়েছে,Compound,2
যে দেখেছে সেই আশ্চর্য হয়েছে,Complex,1
পড়াশোনা করা ব্যক্তি জ্ঞানী,Simple,0
সে পড়াশোনা করে এবং জ্ঞানী,Compound,2
যে পড়াশোনা করে সেই জ্ঞানী,Complex,1
অসুস্থ কিন্তু স্কুলে গেলে,Compound,2
যদিও সে অসুস্থ তবুও স্কুলে গেল,Complex,1
পরিশ্রম করে এবং জীবনে সফল হয়,Compound,2
যারা পরিশ্রম করে তারা জীবনে সফল হয়,Complex,1
কাজ করলে জীবনে সফল হয়,Simple,0
কাজ কর এবং জীবনে সফল হও,Compound,2
যারা কাজ করে তারা জীবনে সফল হয়,Complex,1
তুমি চেষ্টা না করায় ব্যর্থ হয়েছ,Simple,0
তুমি চেষ্টা করােনি তাই ব্যর্থ হয়েছ,Compound,2
"যেহেতু তুমি চেষ্টা করােনি, তাই ব্যর্থ হয়েছ।",Complex,1
দুর্জন লােক পরিত্যাজ্য,Simple,0
দুর্জন লোক কিন্তু পরিত্যাজ্য,Compound,2
"যেসব লােক দুর্জন, তারা পরিত্যাজ্য",Complex,1
খারাপ লােক পরিত্যাজ্য,Simple,0
খারাপ লোক কিন্তু পরিত্যাজ্য,Compound,2
"যেসব লােক খারাপ, তারা পরিত্যাজ্য",Complex,1
সুসংবাদটা পেয়ে সে আনন্দিত হলাে,Simple,0
"যখন সে সুসংবাদটা পেল, তখন সে আনন্দিত হলাে",Complex,1
সুসংবাদটা পাওয়া স্বত্তেও সে কান্না করলো,Simple,0
সে সুসংবাদটা পেল এবং কান্না করলো,Compound,2
"যখন সে সুসংবাদটা পেল, তখন সে কান্না করলো",Complex,1
বন্দুক থাকলে মোকাবিলা করা যেত,Simple,0
বন্দুক থাকত এবং মোকাবিলা করা যেত,Compound,2
যদি বন্দুক থাকত তবে মোকাবিলা করা যেত,Complex,1
বন্দুক না থাকা স্বত্তেও মোকাবিলা করেছে,Simple,0
বন্দুক ছিলোনা কিন্তু মোকাবিলা করেছে,Compound,2
যদিও বন্দুক ছিলোনা তবুও মোকাবিলা করেছে,Complex,1
ছেলেটি গরিব হলেও মেধাবী,Simple,0
ছেলেটি গরিব কিন্তু মেধাবী,Compound,2
যে ছেলেটি গরিব সে মেধাবী,Complex,1
দোষ করলে শাস্তি পাবে,Simple,0
দোষ করেছে অতএব শাস্তি পাবে,Compound,2
যে দোষ করেছে সে শাস্তি পাবে,Complex,1
সত্য কথা স্বীকার না করিলে শাস্তি পাইবে,Simple,0
সত্য কথা স্বীকার কর নতুবা শাস্তি পাইবে,Compound,2
যদি সত্য কথা স্বীকার না কর তবে শাস্তি পাইবে,Complex,1
সে আসলেই আমি যাব,Simple,0
সে আসবে এবং আমি যাবো,Compound,2
যদি সে আসে তবে আমি যাব,Complex,1
স্যার আসলেই আমি যাব,Simple,0
সময়ে ডাক্তার আসলে রোগী মারা যেত না,Simple,0
সময়ে ডাক্তার আসার কারনে রোগী বেঁচে যায়,Simple,0
তিনি ধনী হয়েও সুখী ছিলেন না,Simple,0
দরিদ্র হওয়া সত্বেও তিনি অসৎ নন,Simple,0
স্যার আসবে এবং আমি যাবো,Compound,2
সময়ে ডাক্তার আসলে তবে রোগী মারা যেত না,Compound,2
সময়ে ডাক্তার আসলো এবং রোগী বেঁচে যায়,Compound,2
"তিনি ধনী ছিলেন,কিন্তু সুখী ছিলেন না",Compound,2
"তিনি দরিদ্র,কিন্তু অসৎ নন",Compound,2
যদি স্যার আসে তবে আমি যাব,Complex,1
যদি সময়ে ডাক্তার আসত তবে রোগী মারা যেত না,Complex,1
যেহেতু সময়ে ডাক্তার আসলো সেহেতু রোগী বেঁচে যায়,Complex,1
যে ধনী ছিলেন সে সুখী না,Complex,1
যে দরিদ্র সে অসৎ না,Complex,1
এ সংসারে কোন দরকারি কাজে আমার হাত ছিল না,Simple,0
ভিক্ষুককে টাকা দাও,Simple,0
সে এখানে এসে সব কথা খুলে বলল,Simple,0
লােকটি অশিক্ষিত হলেও অভদ্র নয়,Simple,0
বিপদ আসলে দুঃখও আসে,Simple,0
মেঘ ডাকলে কৈ মাছ উঠে,Simple,0
"এ সংসারে যে কাজ দরকারি,তাতে আমার কোন হাত ছিল না",Complex,1
যারা ভিক্ষা করবে তাদের টাকা দাও,Complex,1
যখন সে এখানে এলো তখন সব কথা খুলে বলল,Complex,1
যে লোকটি অশিক্ষিত সে অভদ্র নয়,Complex,1
"যখন বিপদ আসে, তখন দুঃখও আসে",Complex,1
যেহেতু মেঘ ডাকে তাই কৈ মাছ উঠে,Complex,1
"এ সংসারে যে কাজ দরকারি,তাতে আমার কোন হাত ছিল না।",Compound,1
"কিছু লােক ভিক্ষা করে, ওদের টাকা দাও",Compound,2
সে এখানে এল এবং সব কথা খুলে বলল,Compound,2
"লােকটি অশিক্ষিত, কিন্তু অভদ্র নয়",Compound,2
বিপদ ও দুঃখ একসঙ্গে আসে,Compound,2
মেঘ ডাকবে এবং কৈ মাছে উঠবে,Compound,2
মেঘ ডাকলে ময়ুর নাচে,Simple,0
নিয়মিত সাঁতার কাটলে স্বাস্থ্য ভালাে থাকবে,Simple,0
পড়েছে বলেই ফেল করেছে,Simple,0
সত্য কথা না বলার কারনে বিপদে পড়েছি,Simple,0
রাত হলে আলো জ্বলবে,Simple,0
মেঘ ডাকবে এবং ময়ুর নাচবে,Compound,2
"নিয়মিত সাঁতার কাটো, স্বাস্থ্য ভালাে থাকবে",Compound,2
পড়েছে তাই ফেল করেছে,Compound,2
সত্য কথা বলিনি তথাপি বিপদে পড়েছি,Compound,2
রাত হবে এবং এলো জ্বলবে,Compound,2
যখন মেঘ ডাকবে তখন ময়ুর নাচবে,Complex,1
"যদি নিয়মিত সাঁতার কাটো, তবে স্বাস্থ্য ভালাে থাকবে",Complex,1
যে পড়েছে সে ফেল করেছে,Complex,1
যেহেতু সত্য বলিনি সেহেতু বিপদে পড়েছি,Complex,1
যখন রাত হবে তখন আলো জ্বলবে,Complex,1
অসুস্থতা অবস্থায় সে স্কুলে গেল,Simple,0
ভোরে উঠে ভ্রমন করবে,Simple,0
বয়সে ছোট হলেও তার বুদ্ধি প্রখর,Simple,0
টিভি দেখলেও বেশিক্ষণ দেখবে না,Simple,0
বাড়ি গিয়েই ভাত খাব,Simple,0
অসুস্থ কিন্তু সে স্কুলে গেল,Compound,2
যে পড়াশোনা করবে সুতরাং জ্ঞানী,Compound,2
ভোরে উঠবে এবং ভ্রমন করবে,Compound,2
বয়সে ছোট কিন্তু তার বুদ্ধি প্রখর,Compound,2
টিভি দেখবে কিন্তু বেশিক্ষণ নই,Compound,2
বাড়ি যাব এবং ভাত খাব,Compound,2
যে ভোরে উঠবে সেই ভ্রমন করবে,Complex,1
যদিও সে বয়সে ছোট তবু তার বুদ্ধি প্রখর,Complex,1
যদিও টিভে দেখো তবে বেশিক্ষণ নই,Complex,1
যখন বাড়ি যাবো তখন ভাত খাবো,Complex,1
